1. 토지이용계획표(5-6안),,,,,,,,,,,,,,,,,,,
구 분,,,,기본구상안,,비고,,,,,,,,,,,,,
,,,,면적(㎡),구성비(%),,,,,,,,,,,,,,
합 계,,,,984431,1,"가처분 용지 : 533,771㎡(54.22%)",,,,,,,,가처분 면적 :,533771,54.221270967696064,,,
주거용지,,,,438869,0.4458098129782585,,,,,,,,,주차장(무상 면적) :,4155,,,,
,단독주택,,,50735,0.05153738555571696,,,,,,,,,,,,,,
,공동주택,,,327181,0.3323554418745448,"○ 임대주택 2,106세대(28.4%)",,,,,,,,가처분 면적(존치 고려) :,24458,,,,
,준주거,,,60953,0.06191698554799676,"○ 존치건축물(소) : 하나로마트(1개소), 주유소(2개소), 장례식장(1개소)",,,,,,,,,,,,,
상업용지,,,,70847,0.07196746140663998,,,,,,,,,임대주택 검토,법적기준면적,,65436.200000000004,,
,근린상업,,,27627,0.02806392728388277,,,,,,,,,구분,단위,공동주택,임대주택,임대주택 비율,
,복합시설,,,0,0,,,,,,,,,면적 기준,㎡,335093,67070,0.20015339025285517,67070㎡
,주상복합,,,43220,0.04390353412275721,,,,,,,,,세대수 기준,세대,7639,2011,0.26325435266396124,2011세대
기반시설용지,,,,469120,0.47653923941850673,,,,,,,,,,,,,,
,공공업무,,,22105,0.022454595598878947,,,,,,,,,85㎡ 이하 주택건설용지 지침기준 60% 이상 확보,,,,,
,,커뮤니티 시설,,0,0,,,,,,,,,구분,공동주택,85㎡ 초과,85㎡ 이하,지침 확보비율,
,,체육시설,,15823,0.016073244341147323,,,,,,,,,지침기준,335093,134037.2,201055.8,0.6,
,,공공청사,,6282,0.006381351257731624,,,,,,,,,현황,,53605,281488,0.8400294843521052,
,공원 및 녹지,,,181459,0.1843288153258075,"○ 도시공원 및 녹지 등에 관한 법률 시행규칙 별표2 : 30만 이상~100만㎡ 미만
    : 1인당 6㎡ 이상 : 119,262㎡ (12.1%)
    : 9% 이상 : 88,599㎡",,,,,,,,,,,,,
,,공원,,120760,0.12266984684553818,,,,,,,,,,,,,,
,,완충녹지,,60699,0.06165896848026931,,,,,,,,,,,,,,
,공공공지,,,0,0,,,,,,,,,,,,,,
,광장,,,0,0,,,,,,,,,,도로면적,저류지면적,,,
,도로,,,171585,0.17429865577170975,,,,,,,,,,984431,0.02,,,
,보행자도로,,,3020,0.003067761986365728,,,,,,,,,,171585,19688.62,,,
,주차장,,,24968,0.025362874594562747,"○ 존치 면적(기존 공영주차장 : 4,155㎡)",,,,,,,,,,20000,적용,,
,철도,,,22233,0.022584619947969942,,,,,,,,,,공원,,,,
,학교,,,43750,0.04444191619321212,,,,,,,,,,1인당 6㎡ 이상,119430,0.12131881259326453,,
,,유치원,,0,0,,,,,,,,,,9%이상,88598.79,,,
,,초등학교,,27744,0.028182777665473762,2개소,,,,,,,,,,,,,
,,중학교,,16006,0.01625913852773836,1개소,,,,,,,,,주거용지비욜,,438869,1,
,,고등학교,,0,0,,,,,,,,,,,공동주택,327181,0.7455094800498554,
,방재시설(저류시설),,,0,0,공원 중복 결정,,,,,,,,,,단독+준주거,111688,0.2544905199501446,
종교용지,,,,5595,0.0056834861965947845,2개소,,,,,,,,,,,,,
,,,,,,,,,,,,,,,주차장,기준(1.2%),계획,,
2. 인구 및 주택건설계획,,,,,,,,,,,,,,,면적,11813.172,24968,,
구   분,,,,합   계,,공동주택,,,단독주택,,주상복합,,,,비율,0.012,0.025362874594562747,,
,,,,,,소  계,분  양,임  대,,,,,,,,,,,
세대수,,,,9047,,7639,5628,2011,191,,1217,,,철도면적,철도면적,철도,도로중복,공원중복,녹지중복
인구수,,,,19905,,16807,12382,4425,420,,2678,,,39547,39547,22233,2341,14565,408
 - 인구밀도 :,,,202.19802098877423,,,,,,,,,,,,,,,,
 - 공동주택용지,,,,,,,,,,,,,,,,,,,
구분,,,,,평형비율(%),부지면적(㎡),용적률(%),연면적(㎡),단위면적(㎡),세대당 인구,세대수,인구수,,,,,,,
합계,,,,,,335093,,804223.2000000001,,,7639,16807,,,,,,,
1생활권,,,,,,163786,,393086.4,,,4040,8889,,,구분,면적,비율,계획세대,계획인구
1BL,,,분양,소계,1,17453,2.4,41887.200000000004,,,365,803,,,,335093,1,7639,16807
,,,,60㎡ 이하,0.1,1745,,4188,80,2.2,52,114,,공동주택,60㎡ 이하,93872,0.2801371559537203,2812,6186
,,,,60~85㎡ 이하,0.7,12217,,29320.8,115,2.2,254,559,,,60~85㎡ 이하,187616,0.5598923283983849,3912,8608
,,,,85㎡ 초과,0.2,3491,,8378.4,140,2.2,59,130,,,85㎡ 초과,53605,0.15997051564789477,915,2013
2BL,,,임대,소계,1,24114,2.4,57873.6,,,723,1591,,,,,,,
,,,,60㎡ 이하,1,24114,,57873.6,80,2.2,723,1591,,,,,,,
,,,,60~85㎡ 이하,0,0,,0,115,2.2,0,0,,주상복합,구분,면적,비율,계획세대,계획인구
,,,,85㎡ 초과,0,0,,0,140,2.2,0,0,,,,43220,1,1217,2678
3BL,,,분양,소계,1,23594,2.4,56625.6,,,494,1087,,,60㎡ 이하,,0,0,0
,,,,60㎡ 이하,0.1,2359,,5661.599999999999,80,2.2,70,154,,,60~85㎡ 이하,21610,0.5,668,1470
,,,,60~85㎡ 이하,0.7,16516,,39638.4,115,2.2,344,757,,,85㎡ 초과,21610,0.5,549,1208
,,,,85㎡ 초과,0.2,4719,,11325.6,140,2.2,80,176,,,,,,,
4BL,,,임대,소계,1,42956,2.4,103094.4,,,1288,2834,,,,,,,
,,,,60㎡ 이하,1,42956,,103094.4,80,2.2,1288,2834,,,,,,,
,,,,60~85㎡ 이하,0,0,,0,115,2.2,0,0,,,,,,,
,,,,85㎡ 초과,0,0,,0,140,2.2,0,0,,,,,,,
5BL,,,분양,소계,1,55669,2.4,133605.6,,,1170,2574,,,,,,,
,,,,60㎡ 이하,0.1,5567,,13360.8,80,2.2,167,367,,,,,,,
,,,,60~85㎡ 이하,0.7,38968,,93523.2,115,2.2,813,1789,,,,,,,
,,,,85㎡ 초과,0.2,11134,,26721.6,140,2.2,190,418,,,,,,,
2생활권,,,,,,171307,,411136.80000000005,,,3599,7918,,,,,,,
6BL,,,분양,소계,1,35886,2.4,86126.40000000001,,,754,1659,,,,,,,
,,,,60㎡ 이하,0.1,3589,,8613.6,80,2.2,107,235,,,,,,,
,,,,60~85㎡ 이하,0.7,25120,,60288,115,2.2,524,1153,,,,,,,
,,,,85㎡ 초과,0.2,7177,,17224.8,140,2.2,123,271,,,,,,,
7BL,,,분양,소계,1,30540,2.4,73296,,,641,1410,,,,,,,
,,,,60㎡ 이하,0.1,3054,,7329.599999999999,80,2.2,91,200,,,,,,,
,,,,60~85㎡ 이하,0.7,21378,,51307.2,115,2.2,446,981,,,,,,,
,,,,85㎡ 초과,0.2,6108,,14659.199999999999,140,2.2,104,229,,,,,,,
8BL,,,분양,소계,1,60490,2.4,145176,,,1271,2796,,,,,,,
,,,,60㎡ 이하,0.1,6049,,14517.6,80,2.2,181,398,,,,,,,
,,,,60~85㎡ 이하,0.7,42343,,101623.2,115,2.2,883,1943,,,,,,,
,,,,85㎡ 초과,0.2,12098,,29035.2,140,2.2,207,455,,,,,,,
9BL,,,분양,소계,1,44391,2.4,106538.4,,,933,2053,,,,,,,
,,,,60㎡ 이하,0.1,4439,,10653.6,80,2.2,133,293,,,,,,,
,,,,60~85㎡ 이하,0.7,31074,,74577.59999999999,115,2.2,648,1426,,,,,,,
,,,,85㎡ 초과,0.2,8878,,21307.2,140,2.2,152,334,,,,,,,
,,,,,,,,,,,,,,,,,,,
 - 주상복합,,,,,,,,,,,,,,,,,,,
구분,,,,,평형비율(%),부지면적(㎡),용적률(%),연면적(㎡),단위면적(㎡),세대당 인구,세대수,인구수,,,,,,,
합계,,,,,,43220,,153863.2,,,1217,2678,,,,,,,
주복,,,분양,소계,1,43220,4,153863.2,,,1217,2678,,,,,,,
,,,,60~85㎡ 이하,0.5,21610,,76931.6,115,2.2,668,1470,,,,,,,
,,,,85㎡ 초과,0.5,21610,,76931.6,140,2.2,549,1208,,,,,,,
,,,,,,,,,,,,,,,,,,,
 - 단독주택,,,,,,,,,,,,,,,,,,,
구분,,,,,,부지면적(㎡),필지별면적(㎡),필지당 세대수,세대당 인구,필지수,세대수,인구수,,,,,,,
합계,,,,,,50735,,,,191,191,420,,,,,,,
이주자택지,,,,,,50735,265,1,2.2,191,191,420,,,,,,,
협의양도인택지,,,,,,,265,1,2.2,0,0,0,,,,,,,
