임목폐기물 수량 산출,,,,,,,,,,,,,,,,,,,,,,
수    종,"수목량
㈜","수  고
(m)","흉  고
(m)","단위중량
kg/m3",임목폐기물발생량 / ton,,,수간형성계수,보합율,체  적,,,,,,,,,,,,
,,,,,지상부,뿌리부,합  계,0.5,0.3,지상부,뿌리부,m3,,,,,,,,,,
소나무,61,15,0.23800000000000002,1200,31.74,7.94,39.68,,,28.11,4.96,33.07,18.15,0.298,0.2583,0.3041,22,24,0.03970000000000001,0.04580000000000001,0.866812227074236,2
해송,43,15,0.223,1200,19.64,4.91,24.55,,,17.39,3.07,20.46,11.38,0.265,0.2602,0.3046,22,24,0.0048000000000000265,0.044399999999999995,0.10810810810810871,2
리기다소나무,22,18,0.21600000000000003,1250,11.78,2.95,14.73,,,10.01,1.77,11.78,6.97,0.317,0.2748,0.3292,20,22,0.042200000000000015,0.054400000000000004,0.7757352941176473,2
상수리나무,3,17,0.196,1340,1.34,0.34,1.6800000000000002,,,1.11,0.14,1.25,0.74,0.247,0.2133,0.2572,18,20,0.03370000000000001,0.043899999999999995,0.7676537585421415,2
기타활엽수,39,13,0.12299999999999998,1300,5.09,1.27,6.359999999999999,,,4.35,0.54,4.89,3.23,0.083,0.0801,0.1045,12,14,0.0029,0.02439999999999999,0.11885245901639348,2
,,,,,0,0,0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,21.78,,,,,,,,,
,,,,,,,,,,,,,13.656000000000002,,,,,,,,,
,,,,,,,,,,,,,8.7125,,,,,,,,,
,,,,,,,,,,,,,0.9916,,,,,,,,,
,,,,,,,,,,,,,4.199,,,,,,,,,
,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,0,,,,,,,,,
,,,,,0,0,0,,,,,,0,,,,,,,,,
,,,,,0,0,0,,,,,,0,,,,,,,,,
,,,,,0,0,0,,,,,,0,,,,,,,,,
,,,,,0,0,0,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,0,0,0,,,,,,,,,,,,,,,
,,,,,0,0,0,,,,,,,,,,,,,,,
,,,,,0,0,0,,,,,,,,,,,,,,,
,,,,,0,0,0,,,,,,,,,,,,,,,
계,168,,,,69.59,17.41,87.00000000000001,,,60.97,10.48,71.45,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
