소1진2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
측점,거리,절토,,,,,,,,,,,,,,,,,,,,,,,,,,,,성토,,,,,,,,,,,,,,,,무대,,부족토,잔토,비탈면보호공,,,,,,,,,
,,토사,,,풍화암,,,연암,,,보통암,,,인력터파기,,기계터파기,,,,,,,,,,,표토제거,,계,비다짐,,,노상,,,노체,,,되메우기,,,,,,계,,,,,,,,,,,,,,
,,,,,,,,,,,,,,토사,,토사,,풍화암,,,연암,,,보통암,,,,,,,,,,,,,,,노상,,,노체,,,,,,,,줄떼,,평떼,,풍화암,,연암,,보통암,
,,A,V,V*C,A,V,V*C,A,V,V*C,A,V,V*C,A,V,A,V,A,V,V*C,A,V,V*C,A,V,V*C,A,V,V*C,A,V,V/C,A,V,V/C,A,V,V/C,A,V,V/C,A,V,V/C,V/C,전체,토사,,,L,A,L,A,L,A,L,A,L,A
NO.0,0,0.009525407140147157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0
NO.0+6.60,6.597017292590417,0.005973861720885765,0.05112447234937118,0.05112447234937118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05112447234937118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0
NO.1,13.402982707409583,0.01577143033958639,0.1457258867270396,0.1457258867270396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1457258867270396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0
NO.2,20,0.01125449196451811,0.270259223041045,0.270259223041045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.270259223041045,0,0,0,0.0053852954944968445,0.053852954944968445,0.06161665325511264,0,0,0,0,0,0,0,0,0,0.06161665325511264,,,,,0,0,0,0,0,0,0,0,0,0
소계,40,0.04252519116513742,0.4671095821174558,0.4671095821174558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4671095821174558,0,0,0,0.0053852954944968445,0.053852954944968445,0.06161665325511264,0,0,0,0,0,0,0,0,0,0.06161665325511264,0.06161665325511264,0.06161665325511264,0,0.40549292886234317,0,0,0,0,0,0,0,0,0,0
NO.3,20,0.02152120557850168,0.3277569754301979,0.3277569754301979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3277569754301979,0,0,0,0.03218221206304861,0.37567507557545454,0.4298341825806116,0,0,0,0,0,0,0,0,0,0.4298341825806116,,,,,0,0,0,0,0,0,0,0,0,0
NO.3+3.64,3.6430000000000007,0.06162374412263105,0.1514485258806133,0.1514485258806133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1514485258806133,0,0,0,0.004032925016948852,0.06596587219121539,0.07547582630573843,0,0,0,0,0,0,0,0,0,0.07547582630573843,,,,,0,0,0,0,0,0,0,0,0,0
소계,23.643,0.08314494970113273,0.4792055013108112,0.4792055013108112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4792055013108112,0,0,0,0.03621513707999746,0.44164094776666996,0.50531000888635,0,0,0,0,0,0,0,0,0,0.50531000888635,0.4792055013108112,0.4792055013108112,0.026104507575538838,0,0,0,0,0,0,0,0,0,0,0
총계,63.643,0.12567014086627015,0.946315083428267,0.946315083428267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.946315083428267,0,0,0,0.041600432574494306,0.4954939027116384,0.5669266621414627,0,0,0,0,0,0,0,0,0,0.5669266621414627,0.5408221545659239,0.5408221545659239,0.026104507575538838,0.40549292886234317,0,0,0,0,0,0,0,0,0,0
