보-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
측점,거리,절토,,,,,,,,,,,,,,,,,,,,,,,,,,성토,,,,,,,,,,무대,,부족토,잔토,비탈면보호공,,,,,,,,,
,,토사,,,풍화암,,,연암,,,보통암,,,인력터파기,,기계터파기,,,,,,,,,,,계,비다짐,,,되메우기,,,,,,계,,,,,,,,,,,,,,
,,,,,,,,,,,,,,토사,,토사,,풍화암,,,연암,,,보통암,,,,,,,노상,,,노체,,,,,,,,줄떼,,평떼,,풍화암,,연암,,보통암,
,,A,V,V*C,A,V,V*C,A,V,V*C,A,V,V*C,A,V,A,V,A,V,V*C,A,V,V*C,A,V,V*C,V*C,A,V,V/C,A,V,V/C,A,V,V/C,V/C,전체,토사,,,L,A,L,A,L,A,L,A,L,A
(1)  NO. 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.406585847064804,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0
(1)  NO. 0+2.70,2.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68.58590189576421,126.88985845281917,126.88985845281917,0,0,0,0,0,0,126.88985845281917,,,,,0,0,0,0,0,0,0,0,0,0
(1)  NO. 0+2.80,0.09999999999999964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68.58328791766121,6.858459490671247,6.858459490671247,0,0,0,0,0,0,6.858459490671247,,,,,0,0,0,0,0,0,0,0,0,0
(1)  NO. 1,17.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.03328057094319,959.9024890019978,959.9024890019978,0,0,0,0,0,0,959.9024890019978,,,,,0,0,0,0,0,0,0,0,0,0
(1)  NO. 2,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.35909417065881,823.92374741602,823.92374741602,0,0,0,0,0,0,823.92374741602,,,,,0,0,0,0,0,0,0,0,0,0
(1)  소계,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,244.96815040209222,1917.574554361508,1917.574554361508,0,0,0,0,0,0,1917.574554361508,0,0,1917.574554361508,0,0,0,0,0,0,0,0,0,0,0
(1)  NO. 3,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.01429739687933,863.7339156753814,863.7339156753814,0,0,0,0,0,0,863.7339156753814,,,,,0,0,0,0,0,0,0,0,0,0
(1)  NO. 3+1.15,1.1499999999999986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.370825346432696,53.69644557740435,53.69644557740435,0,0,0,0,0,0,53.69644557740435,,,,,0,0,0,0,0,0,0,0,0,0
(1)  소계,21.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93.38512274331202,917.4303612527857,917.4303612527857,0,0,0,0,0,0,917.4303612527857,0,0,917.4303612527857,0,0,0,0,0,0,0,0,0,0,0
(1)  총계,61.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,338.3532731454042,2835.004915614294,2835.004915614294,0,0,0,0,0,0,2835.004915614294,0,0,2835.0049156142936,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(2)  NO. 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0
(2)  NO. 0+2.70,2.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.38175461736654,39.66536873344483,39.66536873344483,0,0,0,0,0,0,39.66536873344483,,,,,0,0,0,0,0,0,0,0,0,0
(2)  NO. 0+2.80,0.09999999999999964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.41576972190154,2.9398762169633934,2.9398762169633934,0,0,0,0,0,0,2.9398762169633934,,,,,0,0,0,0,0,0,0,0,0,0
(2)  NO. 1,17.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.84213515501506,569.8179819414827,569.8179819414827,0,0,0,0,0,0,569.8179819414827,,,,,0,0,0,0,0,0,0,0,0,0
(2)  NO. 2,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.97743134528838,698.1956650030344,698.1956650030344,0,0,0,0,0,0,698.1956650030344,,,,,0,0,0,0,0,0,0,0,0,0
(2)  소계,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128.61709083957152,1310.6188918949251,1310.6188918949251,0,0,0,0,0,0,1310.6188918949251,0,0,1310.6188918949251,0,0,0,0,0,0,0,0,0,0,0
(2)  NO. 3,20,0.044130134062356774,0.44130134062356774,0.44130134062356774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.44130134062356774,17.312940192310577,502.9037153759896,502.9037153759896,0,0,0,0,0,0,502.9037153759896,,,,,0,0,0,0,0,0,0,0,0,0
(2)  NO. 3+1.15,1.1499999999999986,0,0.025374827085855114,0.025374827085855114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025374827085855114,16.902810671385282,19.674056746625094,19.674056746625094,0,0,0,0,0,0,19.674056746625094,,,,,0,0,0,0,0,0,0,0,0,0
(2)  소계,21.15,0.044130134062356774,0.46667616770942283,0.46667616770942283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.46667616770942283,34.21575086369586,522.5777721226146,522.5777721226146,0,0,0,0,0,0,522.5777721226146,0.46667616770942283,0.46667616770942283,522.1110959549052,0,0,0,0,0,0,0,0,0,0,0
(2)  총계,61.15,0.044130134062356774,0.46667616770942283,0.46667616770942283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.46667616770942283,162.83284170326738,1833.19666401754,1833.19666401754,0,0,0,0,0,0,1833.19666401754,0.46667616770942283,0.46667616770942283,1832.7299878498302,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(1),61.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,338.3532731454042,2835.004915614294,2835.004915614294,0,0,0,0,0,0,2835.004915614294,0,0,2835.0049156142936,0,0,0,0,0,0,0,0,0,0,0
(2),61.15,0.044130134062356774,0.46667616770942283,0.46667616770942283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.46667616770942283,162.83284170326738,1833.19666401754,1833.19666401754,0,0,0,0,0,0,1833.19666401754,0.46667616770942283,0.46667616770942283,1832.7299878498302,0,0,0,0,0,0,0,0,0,0,0
총계,122.3,0.044130134062356774,0.46667616770942283,0.46667616770942283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.46667616770942283,501.1861148486716,4668.201579631834,4668.201579631834,0,0,0,0,0,0,4668.201579631834,0.46667616770942283,0.46667616770942283,4667.734903464124,0,0,0,0,0,0,0,0,0,0,0
