I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
측점,거리,절토,,,,,,,,,,,,,,,,,,,,,,,,,,성토,,,,,,,,,,무대,,부족토,잔토,비탈면보호공,,,,,,,,,
,,토사,,,풍화암,,,연암,,,보통암,,,인력터파기,,기계터파기,,,,,,,,,,,계,비다짐,,,되메우기,,,,,,계,,,,,,,,,,,,,,
,,,,,,,,,,,,,,토사,,토사,,풍화암,,,연암,,,보통암,,,,,,,노상,,,노체,,,,,,,,줄떼,,평떼,,풍화암,,연암,,보통암,
,,A,V,V*C,A,V,V*C,A,V,V*C,A,V,V*C,A,V,A,V,A,V,V*C,A,V,V*C,A,V,V*C,V*C,A,V,V/C,A,V,V/C,A,V,V/C,V/C,전체,토사,,,L,A,L,A,L,A,L,A,L,A
(1)  NO. 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.7885810800057698,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0
(1)  NO. 0,0.0005270066887621067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.7885857076089735,0.0014696021007074207,0.0014696021007074207,0,0,0,0,0,0,0.0014696021007074207,,,,,0,0,0,0,0,0,0,0,0,0
(1)  NO. 0+16.00,15.999473161658074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.9833723328568453,46.174143879324696,46.174143879324696,0,0,0,0,0,0,46.174143879324696,,,,,0,0,0,0,0,0,0,0,0,0
(1)  소계,16.000000168346837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.560539120471589,46.1756134814254,46.1756134814254,0,0,0,0,0,0,46.1756134814254,0,0,46.1756134814254,0,0,0,0,0,0,0,0,0,0,0
(1)  총계,16.000000168346837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.560539120471589,46.1756134814254,46.1756134814254,0,0,0,0,0,0,46.1756134814254,0,0,46.1756134814254,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(2)  NO. 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.024691008738955,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0
(2)  NO. 0,0.0005270066887621067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0246943686794907,0.0010670265896374944,0.0010670265896374944,0,0,0,0,0,0,0.0010670265896374944,,,,,0,0,0,0,0,0,0,0,0,0
(2)  NO. 0+16.00,15.999473161658074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.139362573666432,33.311358646339784,33.311358646339784,0,0,0,0,0,0,33.311358646339784,,,,,0,0,0,0,0,0,0,0,0,0
(2)  소계,16.000000168346837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.188747951084878,33.31242567292942,33.31242567292942,0,0,0,0,0,0,33.31242567292942,0,0,33.31242567292942,0,0,0,0,0,0,0,0,0,0,0
(2)  총계,16.000000168346837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.188747951084878,33.31242567292942,33.31242567292942,0,0,0,0,0,0,33.31242567292942,0,0,33.31242567292942,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(1),16.000000168346837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.560539120471589,46.1756134814254,46.1756134814254,0,0,0,0,0,0,46.1756134814254,0,0,46.1756134814254,0,0,0,0,0,0,0,0,0,0,0
(2),16.000000168346837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.188747951084878,33.31242567292942,33.31242567292942,0,0,0,0,0,0,33.31242567292942,0,0,33.31242567292942,0,0,0,0,0,0,0,0,0,0,0
총계,32.000000336693674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.749287071556466,79.48803915435482,79.48803915435482,0,0,0,0,0,0,79.48803915435482,0,0,79.48803915435482,0,0,0,0,0,0,0,0,0,0,0
