구 분,,,,구성비(%),,비고,,,,,,,,,,,,,,
,,,변 경,공구별,전체,,,,,,,,,,,,,,,
,,,1521876,-,100,,,,,,,,114710,,,,,,,
"1
공
구",합 계,,462487,100,30.389269559412195,,,,,,,,전체,,1공구,,,2공구,,
,주택건설용지,,5564,1.2030608427912568,0.3656014024795713,,,,,,,구분,면적(㎡),비율(%),면적(㎡),구성비(%),,면적(㎡),구성비(%),
,,단독주택,5564,1.2030608427912568,0.3656014024795713,,,,,,,,,,,공구별,전체,,공구별,전체
,산업시설용지,,284492,61.513512812252024,18.693507223978827,,,,,,,가처분용지율,1325456,87.0935608420134,319105,68.99761506809921,20.967871232610282,1006351,94.99352928905246,66.12568960940312
,,제조시설용지,284492,61.513512812252024,18.693507223978827,,,,,,,산업시설율,1303466,85.64863366003537,297115,64.2428868270892,19.522944050632248,1006351,94.99352928905246,66.12568960940312
,복합용지,,12623,2.7293740148371737,0.8294368266534199,,,,,,,,98.3,,,,,,,
,지원시설용지,,4942,1.0685705760378128,0.3247307927846947,,,,,,,녹지율,114710,7.537407778294684,61672,13.334861304209634,4.0523669471100146,53038,4.955120256953441,3.4850408311846692
,공공시설용지,,154866,33.48548175408174,10.175993313515686,,,,,,,도로율,63699,4.185557824684797,63699,13.773143893774312,4.185557824684797,0,0,0
,,도로,63699,13.773143893774312,4.185557824684797,,,,,,,,,,,,,,,
,,보행자도로,107,0.0231357854382934,0.007030796201530217,,,,,,,,,,,,,,,
,,공원,26906,5.817677037408619,1.767949556994131,,,,,,,,,,,,,,,
,,녹지,34766,7.517184266801012,2.2844173901158835,,,,,,,,,,,,,,,
,,하천,8908,1.9261081933113795,0.5853302108713193,,,,,,,,,,,,,,,
,,주차장,9182,1.9853531018169157,0.603334305817294,,,,,,,,,,,,,,,
,,오폐수처리시설,1691,0.36563189884256203,0.11111286333446353,,,,,,,구분,,면적,구성비,,,,,
,,저류지,5811,1.256467749363766,0.38183137128123446,"공원중복지정
(2,010㎡)",,,,,,합계,,1303466,100,,,,,
,,완충저류시설,3504,0.7576429175306548,0.23024214850618577,,,,,,,1공구,소계,297115,22.8,,,,,
,,주유소,2302,0.49774372036403186,0.15126068089647252,,,,,,,,우주항공기 제조산업,186264,14.3,284492,,,,
"2
공
구",합 계,,1059389,100,69.6107304405878,,,,,,,,우주항공기 부품산업,98228,7.5,,,,,
,산업시설용지,,1006351,94.99352928905246,66.12568960940312,,,,,,,,복합용지,12623,1,,,,,
,,연구용지,1006351,94.99352928905246,66.12568960940312,,,,,,,2공구,소계,1006351,77.2,,,,,
,공공시설용지,,53038,5.006470710947537,3.4850408311846692,,,,,,,,우주항공기 연구개발업,1006351,77.2,,,,,
,,녹지,53038,5.006470710947537,3.4850408311846692,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
