공    종    명,규    격,단위,수   량,비    고
 5. 부 대 공,,,,
토 공,,,,
터파기,,㎥,2433.5099999999998,
되메우기,,㎥,2373.79,
1). 가배수로,,,,
천막지,,㎡,5487.339999999999,
마대쌓기,,ea,3168,
2). 침사지설치,,,,
레미콘타설,,㎥,15.94,
거푸집,,㎡,31.93,
잡석부설,,㎥,7.5,
천막지,,㎥,558.96,
3). 가설건물,,,,
가설사무소설치,,동,2,
레미콘타설,,㎥,9.360000000000001,
4)세륜세차시설,,,,
레미콘타설,,㎥,29.959999999999997,
거푸집,,㎡,45.07,
잡석부설,,㎥,23.6,
철근부설및접합,,Ton,0.801,
세륜세차시설 설치,,개소,1,
5)가설구조물설치,,,,
EGI휀스설치,,m,691,
가설방음벽설치,,m,190,
6) 운반,,,,
중기운반,,식,1,
철근운반,L=50km이내,TON,0,
H빔운반,L=50km이내,TON,5.869999999999999,
7) 하차비,,,,
보도블럭하차비,,㎡,5624,
흄관하차비,D450,본,0,
흄관하차비,D600,본,31,
흄관하차비,D800,본,48,
흄관하차비,D1000,본,29,
원형맨홀하차비,상부 0.5m,EA,0,
원형맨홀하차비,연직 0.5m,EA,0,
원형맨홀하차비,연직 1.0m,EA,0,
원형맨홀하차비,하부 1.0m,EA,0,
사각맨홀하차비,하부0.6X0.6X0.6,EA,0,
사각맨홀하차비,하부0.8X0.8X1,EA,11,
사각맨홀하차비,상부1.0X1.0X0.2,EA,2,
사각맨홀하차비,연직1.0X1.0X0.5,EA,2,
사각맨홀하차비,상부1.2X1.2X0.2,EA,5,
사각맨홀하차비,연직1.2X1.2X0.5,EA,1,
사각맨홀하차비,하부1.2X1.2X1.2,EA,4,
사각맨홀하차비,상부1.5X1.5X0.2,EA,2,
사각맨홀하차비,연직1.5X1.5X0.5,EA,1,
사각맨홀하차비,연직1.5X1.5X1,EA,1,
사각맨홀하차비,하부1.5X1.5X1.5,EA,2,
경계석하차비,250x200,M,619,
경계석하차비,200x250~100,본,16,
경계석하차비,200x100,본,23,
경계석하차비,150x150,본,3040,
8) 품질관리비,,,,
품질시험비,,식,1,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,121
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
